student_assignment,total_time,compiled,compiled_successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,average_test_results
A2016\student1013,6894752,1441,1116,689,1349,38441,12365,32597,2023,1.957910015
A2016\student1016,37440,,,,,1,,,8,
A2016\student1021,9363152,2108,1278,787,1605,58550,19160,49003,6105,2.039390089
A2016\student1029,6949656,1775,1201,852,754,36461,15605,30332,2683,0.884976526
A2016\student1066,2784368,338,223,449,810,13924,6140,12169,369,1.804008909
A2016\student1110,1317536,302,254,120,91,8362,3930,6895,377,0.758333333
A2016\student1120,3638256,324,141,263,435,24875,5945,21268,931,1.653992395
A2016\student1132,4114088,814,622,788,2379,20193,15332,16382,1801,3.019035533
A2016\student1146,5172376,1345,1020,652,2308,30691,10505,25738,1211,3.539877301
A2016\student1176,7124928,1396,1074,986,1327,46750,18671,39572,2776,1.345841785
A2016\student1180,9399456,2297,1930,705,1387,59199,17786,51252,3035,1.967375887
A2016\student1188,4912528,1197,871,377,600,28181,9459,24901,503,1.591511936
A2016\student1192,5581360,1157,894,679,1519,26969,9220,23329,694,2.237113402
A2016\student1200,2877840,381,208,313,713,18752,7148,16456,942,2.277955272
A2016\student1202,7699744,2289,1593,1162,1961,42985,12520,37187,1838,1.687607573
A2016\student1220,,,,,,,,,,
A2016\student1237,3752808,755,504,724,618,25326,5403,22886,236,0.85359116
A2016\student1263,204664,49,39,,,1463,532,1261,15,
A2016\student1266,1722448,233,118,139,106,10965,3834,9672,592,0.762589928
A2016\student1269,1971544,329,165,347,204,12003,6459,10123,1066,0.587896254
A2016\student1278,2048,,,,,13,121,1,6,
A2016\student1302,2125744,1305,1009,498,1057,2646,8262,1628,90,2.12248996
A2016\student1303,37440,,,,,1,,,8,
A2016\student1313,6365408,1576,1281,250,406,37640,12043,31892,2109,1.624
A2016\student1317,10086704,1822,1450,1034,1498,52519,19570,41961,2043,1.448742747
A2016\student1324,98072,87,81,27,,107,466,60,2,
A2016\student1326,3479792,1073,522,319,292,18585,9219,15764,3368,0.915360502
A2016\student1329,500632,61,30,6,41,2714,973,2244,158,6.833333333
A2016\student1336,7744,,,,,141,,,,
A2016\student1364,15644328,3768,2874,1129,1683,94847,33875,78314,6884,1.490699734
A2016\student1375,2786162,490,364,356,1102,16014,5262,14328,974,3.095505618
A2016\student1390,3043024,921,716,232,633,15788,8033,13594,393,2.728448276
A2016\student1422,7486568,1452,1040,1091,1186,47304,18673,39526,3881,1.087076077
A2016\student1424,3692256,1039,834,134,425,22520,4296,14763,479,3.171641791
A2016\student1446,0,,,,,94,,,,
A2016\student1453,7633536,1446,1042,806,1146,32591,13058,27998,1112,1.421836228
A2016\student1465,7663752,1757,1402,1140,2156,41851,18163,34565,2929,1.89122807
A2016\student1466,10341400,3800,2439,1485,677,45414,24050,36449,5903,0.455892256
A2016\student1468,2704,6,5,,,23,23,14,,
A2016\student1476,84488,,,,,21,2954,,,
A2016\student1477,12193680,1746,1101,1779,1570,63456,22454,52401,5487,0.882518269
A2016\student1482,4489464,915,569,485,354,26633,8510,23063,2748,0.729896907
A2016\student1483,6774904,2224,1416,499,760,37914,18336,31315,4906,1.523046092
A2016\student1494,3453536,721,525,244,633,17917,8292,14882,828,2.594262295
A2016\student1502,2283392,202,135,443,1027,11429,5086,9958,232,2.318284424
A2016\student1518,82800,43,29,10,29,307,595,259,11,2.9
A2016\student1522,102256,10,9,48,,219,807,161,295,
A2016\student1531,197288,,,,,21,383,,,
A2016\student1534,1229049,170,145,209,1256,3977,6142,3070,269,6.009569378
A2016\student1542,15361032,5303,4346,592,830,80608,27737,66599,4750,1.402027027
A2016\student1547,6183640,1110,702,639,1205,39366,9025,34386,1887,1.885758998
A2016\student1562,2574536,775,610,302,473,13466,4979,11674,398,1.566225166
A2016\student1571,5017400,1748,1414,1120,2169,23760,13439,19268,985,1.936607143
A2016\student1579,90744,3,3,2,0,56,276,5,2,0
A2016\student1581,7160840,1920,1552,838,998,39870,12030,34361,1470,1.190930788
A2016\student1616,2372728,298,166,191,434,11478,9388,9574,4523,2.272251309
A2016\student1624,6777592,1093,610,353,1296,36265,10469,31171,1333,3.671388102
A2016\student1639,6831080,1252,691,757,766,39386,15330,34125,4545,1.011889036
A2016\student1649,6218624,956,689,587,1317,29427,10203,24936,1432,2.243611584
A2016\student1671,397664,15,5,86,370,1449,774,1034,91,4.302325581
A2016\student1688,,,,,,3,,,,
A2016\student1725,6065968,1036,649,674,845,30788,8270,26800,1288,1.253709199
A2016\student1738,15621808,5862,4962,2167,2210,88728,40086,72963,12133,1.019843101
A2016\student1758,8112224,2642,2017,1017,1956,39319,19085,32249,2207,1.923303835
A2016\student1772,9351184,2285,1698,619,548,52259,15461,44108,4003,0.885298869
A2016\student1793,0,,,,,11,,,,
A2016\student1828,775888,143,40,34,167,4452,947,4016,247,4.911764706
A2016\student1833,9324256,2679,2036,645,1790,58580,23359,51737,6101,2.775193798
A2016\student1845,1476040,415,265,201,543,6869,3369,5773,442,2.701492537
A2016\student1891,288,,,1,,3,,,,
A2016\student1915,2436120,304,128,111,203,13747,3188,12462,1045,1.828828829
A2016\student1938,80,,,,,1,,,269,
A2016\student1943,2451800,369,278,215,639,12648,3385,11174,408,2.972093023
A2016\student1966,64,,,,,1,,,6,
A2016\student1976,1203064,193,130,142,395,7145,1802,6321,227,2.781690141
A2016\student1978,1059256,269,208,179,89,6377,1808,5382,79,0.497206704
A2016\student1981,14953816,4639,3689,1224,2013,60413,21959,50467,3334,1.644607843
A2016\student1995,8680,,,,,1,,,194,
A2016\student2035,3296600,637,451,461,795,19949,4419,17750,642,1.724511931
A2016\student2045,2880,,,,,1,118,,,
A2016\student2068,6995200,726,548,696,1461,36168,18285,30076,1469,2.099137931
A2016\student2080,36960,,,,,1,8,,,
A2016\student2086,2599864,279,194,207,221,19522,3372,17661,765,1.06763285
A2016\student2111,7619568,2224,1678,1228,1703,44505,19290,36755,2763,1.386807818
A2016\student2117,3408,,,,,11,,,,
A2016\student2126,5279456,785,565,936,1919,25543,6205,22598,943,2.050213675
A2016\student2142,880904,70,31,6,3,7869,1878,6830,189,0.5
A2016\student2153,484104,186,97,,,2991,1058,698,594,
A2016\student2155,13416776,3044,2251,2057,853,71259,24561,61111,3192,0.414681575
A2016\student2157,5559456,1650,1100,662,436,31582,8671,27595,1290,0.658610272
A2016\student2160,749184,307,243,157,285,4026,1719,3449,1195,1.815286624
A2016\student2197,2777816,365,243,287,513,18860,3991,16698,361,1.787456446
A2016\student2210,10285480,3364,2557,821,1422,58146,22550,49232,3213,1.732034105
A2016\student2213,2177704,616,395,167,286,9889,6108,8729,1451,1.71257485
A2016\student2221,9851000,2502,1957,543,572,55649,18879,45126,5181,1.053406998
A2016\student2230,5916904,1842,1446,838,744,24783,11012,20575,1184,0.887828162
A2016\student2232,37440,,,,,1,8,,,
A2016\student2234,4922680,1535,1187,783,1672,27159,11620,23275,789,2.135376756
A2016\student2240,999592,150,115,144,705,6437,2201,5288,212,4.895833333
