roll_no,total_time,compiled,compiled successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,cps,paste_lines,max_pastes,average_test_results,avg_paste,op
A2016\student1013,6894752,1441,1116,689,1349,38441,12365,32597,2023,0.003435512,5202,120,1.957910015,4.553440984,0
A2016\student1016,37440,,,,,1,,,8,0,,,,,0
A2016\student1021,9363152,2108,1278,787,1605,58550,19160,49003,6105,0.003996731,7270,162,2.039390089,5.147455296,1
A2016\student1029,6949656,1775,1201,852,754,36461,15605,30332,2683,0.00503953,7235,165,0.884976526,4.840774015,1
A2016\student1066,2784368,338,223,449,810,13924,6140,12169,369,0.004970248,3988,139,1.804008909,3.470160481,0
A2016\student1110,1317536,302,254,120,91,8362,3930,6895,377,0.009649831,1770,179,0.758333333,7.183050847,0
A2016\student1120,3638256,324,141,263,435,24875,5945,21268,931,0.001855834,1105,251,1.653992395,6.11040724,1
A2016\student1132,4114088,814,622,788,2379,20193,15332,16382,1801,0.008786394,9823,149,3.019035533,3.679934847,0
A2016\student1146,5172376,1345,1020,652,2308,30691,10505,25738,1211,0.002198989,4195,67,3.539877301,2.711323004,0
A2016\student1176,7124928,1396,1074,986,1327,46750,18671,39572,2776,0.003585861,7680,104,1.345841785,3.326692708,0
A2016\student1180,9399456,2297,1930,705,1387,59199,17786,51252,3035,0.003573824,6229,1225,1.967375887,5.392839942,0
A2016\student1188,4912528,1197,871,377,600,28181,9459,24901,503,0.00286146,4580,162,1.591511936,3.069213974,1
A2016\student1192,5581360,1157,894,679,1519,26969,9220,23329,694,0.002431486,4968,267,2.237113402,2.73168277,1
A2016\student1200,2877840,381,208,313,713,18752,7148,16456,942,0.006252606,4633,162,2.277955272,3.883876538,1
A2016\student1202,7699744,2289,1593,1162,1961,42985,12520,37187,1838,0.004397159,5450,305,1.687607573,6.212293578,1
A2016\student1220,,,,,,,,,,,,,,,1
A2016\student1237,3752808,755,504,724,618,25326,5403,22886,236,0.001241737,1766,44,0.85359116,2.638731597,1
A2016\student1263,204664,49,39,,,1463,532,1261,15,0.003547277,282,3,,2.574468085,0
A2016\student1266,1722448,233,118,139,106,10965,3834,9672,592,0.009360515,2230,150,0.762589928,7.230044843,1
A2016\student1269,1971544,329,165,347,204,12003,6459,10123,1066,0.017894097,4060,221,0.587896254,8.689408867,1
A2016\student1278,2048,,,,,13,121,1,6,1.735839844,121,130,,29.38016529,0
A2016\student1302,2125744,1305,1009,498,1057,2646,8262,1628,90,0.009678023,6568,162,2.12248996,3.132308161,0
A2016\student1303,37440,,,,,1,,,8,0,,,,,0
A2016\student1313,6365408,1576,1281,250,406,37640,12043,31892,2109,0.003059662,4221,160,1.624,4.614072495,1
A2016\student1317,10086704,1822,1450,1034,1498,52519,19570,41961,2043,0.00335739,10450,760,1.448742747,3.240669856,1
A2016\student1324,98072,87,81,27,,107,466,60,2,0.045242271,398,196,,11.14824121,0
A2016\student1326,3479792,1073,522,319,292,18585,9219,15764,3368,0.015609266,5895,804,0.915360502,9.214079729,1
A2016\student1329,500632,61,30,6,41,2714,973,2244,158,0.001859649,379,3,6.833333333,2.45646438,0
A2016\student1336,7744,,,,,141,,,,0,,,,,0
A2016\student1364,15644328,3768,2874,1129,1683,94847,33875,78314,6884,0.00571517,15644,267,1.490699734,5.715290207,0
A2016\student1375,2786162,490,364,356,1102,16014,5262,14328,974,0.006767374,2954,144,3.095505618,6.382870684,1
