Student,total_time,compiled,compiled_successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,cps,paste_lines,max_pastes,average_test_results,avg_paste
A2016\student1013,6894752.0,1441.0,1116.0,689.0,1349.0,38441.0,12365.0,32597.0,2023.0,0.003435512,5202.0,120.0,1.957910015,4.553440984
A2016\student1016,37440.0,,,,,1.0,,,8.0,0.0,,,,
A2016\student1021,9363152.0,2108.0,1278.0,787.0,1605.0,58550.0,19160.0,49003.0,6105.0,0.003996731,7270.0,162.0,2.039390089,5.147455296
A2016\student1029,6949656.0,1775.0,1201.0,852.0,754.0,36461.0,15605.0,30332.0,2683.0,0.00503953,7235.0,165.0,0.884976526,4.840774015
A2016\student1066,2784368.0,338.0,223.0,449.0,810.0,13924.0,6140.0,12169.0,369.0,0.004970248,3988.0,139.0,1.804008909,3.470160481
A2016\student1110,1317536.0,302.0,254.0,120.0,91.0,8362.0,3930.0,6895.0,377.0,0.009649831,1770.0,179.0,0.758333333,7.183050847
A2016\student1120,3638256.0,324.0,141.0,263.0,435.0,24875.0,5945.0,21268.0,931.0,0.001855834,1105.0,251.0,1.653992395,6.11040724
A2016\student1132,4114088.0,814.0,622.0,788.0,2379.0,20193.0,15332.0,16382.0,1801.0,0.008786394,9823.0,149.0,3.019035533,3.679934847
A2016\student1146,5172376.0,1345.0,1020.0,652.0,2308.0,30691.0,10505.0,25738.0,1211.0,0.002198989,4195.0,67.0,3.539877301,2.711323004
A2016\student1176,7124928.0,1396.0,1074.0,986.0,1327.0,46750.0,18671.0,39572.0,2776.0,0.003585861,7680.0,104.0,1.345841785,3.326692708
A2016\student1180,9399456.0,2297.0,1930.0,705.0,1387.0,59199.0,17786.0,51252.0,3035.0,0.003573824,6229.0,1225.0,1.967375887,5.392839942
A2016\student1188,4912528.0,1197.0,871.0,377.0,600.0,28181.0,9459.0,24901.0,503.0,0.00286146,4580.0,162.0,1.591511936,3.069213974
A2016\student1192,5581360.0,1157.0,894.0,679.0,1519.0,26969.0,9220.0,23329.0,694.0,0.002431486,4968.0,267.0,2.237113402,2.73168277
A2016\student1200,2877840.0,381.0,208.0,313.0,713.0,18752.0,7148.0,16456.0,942.0,0.006252606,4633.0,162.0,2.277955272,3.883876538
A2016\student1202,7699744.0,2289.0,1593.0,1162.0,1961.0,42985.0,12520.0,37187.0,1838.0,0.004397159,5450.0,305.0,1.687607573,6.212293578
A2016\student1220,,,,,,,,,,,,,,
A2016\student1237,3752808.0,755.0,504.0,724.0,618.0,25326.0,5403.0,22886.0,236.0,0.001241737,1766.0,44.0,0.85359116,2.638731597
A2016\student1263,204664.0,49.0,39.0,,,1463.0,532.0,1261.0,15.0,0.003547277,282.0,3.0,,2.574468085
A2016\student1266,1722448.0,233.0,118.0,139.0,106.0,10965.0,3834.0,9672.0,592.0,0.009360515,2230.0,150.0,0.762589928,7.230044843
A2016\student1269,1971544.0,329.0,165.0,347.0,204.0,12003.0,6459.0,10123.0,1066.0,0.017894097,4060.0,221.0,0.587896254,8.689408867
A2016\student1278,2048.0,,,,,13.0,121.0,1.0,6.0,1.735839844,121.0,130.0,,29.38016529
A2016\student1302,2125744.0,1305.0,1009.0,498.0,1057.0,2646.0,8262.0,1628.0,90.0,0.009678023,6568.0,162.0,2.12248996,3.132308161
A2016\student1303,37440.0,,,,,1.0,,,8.0,0.0,,,,
A2016\student1313,6365408.0,1576.0,1281.0,250.0,406.0,37640.0,12043.0,31892.0,2109.0,0.003059662,4221.0,160.0,1.624,4.614072495
A2016\student1317,10086704.0,1822.0,1450.0,1034.0,1498.0,52519.0,19570.0,41961.0,2043.0,0.00335739,10450.0,760.0,1.448742747,3.240669856
A2016\student1324,98072.0,87.0,81.0,27.0,,107.0,466.0,60.0,2.0,0.045242271,398.0,196.0,,11.14824121
A2016\student1326,3479792.0,1073.0,522.0,319.0,292.0,18585.0,9219.0,15764.0,3368.0,0.015609266,5895.0,804.0,0.915360502,9.214079729
A2016\student1329,500632.0,61.0,30.0,6.0,41.0,2714.0,973.0,2244.0,158.0,0.001859649,379.0,3.0,6.833333333,2.45646438
A2016\student1336,7744.0,,,,,141.0,,,,0.0,,,,
A2016\student1364,15644328.0,3768.0,2874.0,1129.0,1683.0,94847.0,33875.0,78314.0,6884.0,0.00571517,15644.0,267.0,1.490699734,5.715290207
A2016\student1375,2786162.0,490.0,364.0,356.0,1102.0,16014.0,5262.0,14328.0,974.0,0.006767374,2954.0,144.0,3.095505618,6.382870684
A2016\student1390,3043024.0,921.0,716.0,232.0,633.0,15788.0,8033.0,13594.0,393.0,0.005084416,5260.0,34.0,2.728448276,2.941444867
A2016\student1422,7486568.0,1452.0,1040.0,1091.0,1186.0,47304.0,18673.0,39526.0,3881.0,0.005116897,7793.0,251.0,1.087076077,4.915693571
A2016\student1424,3692256.0,1039.0,834.0,134.0,425.0,22520.0,4296.0,14763.0,479.0,0.001943256,1873.0,80.0,3.171641791,3.830752803
A2016\student1446,0.0,,,,,94.0,,,,,,,,
A2016\student1453,7633536.0,1446.0,1042.0,806.0,1146.0,32591.0,13058.0,27998.0,1112.0,0.002502772,6801.0,109.0,1.421836228,2.809145714
A2016\student1465,7663752.0,1757.0,1402.0,1140.0,2156.0,41851.0,18163.0,34565.0,2929.0,0.006945684,8790.0,138.0,1.89122807,6.055745165
A2016\student1466,10341400.0,3800.0,2439.0,1485.0,677.0,45414.0,24050.0,36449.0,5903.0,0.005965343,11852.0,548.0,0.455892256,5.205028687
A2016\student1468,2704.0,6.0,5.0,,,23.0,23.0,14.0,,0.00443787,11.0,2.0,,1.090909091
A2016\student1476,84488.0,,,,,21.0,2954.0,,,0.123366632,2954.0,4.0,,3.528436019
A2016\student1477,12193680.0,1746.0,1101.0,1779.0,1570.0,63456.0,22454.0,52401.0,5487.0,0.003402664,6987.0,245.0,0.882518269,5.938314012
A2016\student1482,4489464.0,915.0,569.0,485.0,354.0,26633.0,8510.0,23063.0,2748.0,0.008897721,4193.0,343.0,0.729896907,9.526830432
A2016\student1483,6774904.0,2224.0,1416.0,499.0,760.0,37914.0,18336.0,31315.0,4906.0,0.010217414,10094.0,121.0,1.523046092,6.85773727
A2016\student1494,3453536.0,721.0,525.0,244.0,633.0,17917.0,8292.0,14882.0,828.0,0.004695767,4344.0,103.0,2.594262295,3.733195212
